name,lat,lon,obs_cnt,temp_avg,temp_var,temp_cnt,temp_max,temp_min,humid_avg,humid_var,humid_cnt,humid_max,humid_min,pm1_avg,pm1_var,pm1_cnt,pm1_max,pm1_min,pm2_5_avg,pm2_5_var,pm2_5_cnt,pm2_5_max,pm2_5_min,pm10_avg,pm10_var,pm10_cnt,pm10_max,pm10_min
"CCA Hillcrest & Rodeo",34.021358,-118.343286,9850,68.3374246153848,92.992637012216,9750,104.9,15.33,42.6833398277276,201.200953473677,9752,69.98,0.7,10.1738854473443,99.2605009692039,9847,80.83,0,15.4225855590534,241.86017805928,9847,119.37,0,16.8132608916421,295.92212201836,9847,128.18,0
"CCA Holmes and Century",33.945583,-118.241169,15872,73.4732826470019,114.212336528054,15323,106.07,6.45,42.7116715599922,170.078578949147,15327,65.2,0,12.1033426618939,113.585184907634,15365,198.1,0,18.8973712984055,300.601858573727,15365,325.89,0.05,21.0088252521964,392.236542104647,15365,374.44,0.13
"CCA Idaho and Bundy",34.038451,-118.461625,17232,86.1283590845713,12.32706164067,17216,97,76.31,32.8215444934943,20.099962290556,17216,49.09,15.3,5.67121514869886,210.102635525942,17216,289.53,0,8.41492448884756,539.01379205936,17216,573.99,0,9.46603624535308,751.677475998456,17216,753.87,0
"CCA Janice & Downey",33.867649,-118.151252,17232,75.7978750292541,136.438875327427,17092,114.23,2.93,41.3954697554701,133.622675339487,17094,68.22,2.27,9.26225660377358,75.9824625514291,17225,116.68,0,13.7801683599419,179.625975981872,17225,184.9,0,14.9073283018868,214.874371356738,17225,202.9,0
"CCA Jeffries",34.085236,-118.223757,15607,74.4347778572818,134.604218837261,15373,112.79,3.46,45.879294308943,168.535324810929,15375,80.69,0.79,9.98844627143684,66.138859321384,15569,88.93,0,15.0137452630226,172.533091348516,15569,142.99,0,17.4340837561822,247.257237214466,15569,168.63,0
"CCA King and 61st",33.98329,-118.183926,15302,74.8149312647292,137.95554191999,15276,112.87,15.78,46.7459095668108,242.928623886332,15282,74.31,2.2,11.5503484115571,93.5175058274798,15298,187.05,0,18.0955157536932,277.533157140661,15298,326.74,0,19.1644038436395,310.185543506115,15298,343.76,0
"CCA LADOT",34.019918,-118.2383,2356,65.2412144373671,43.1693940215416,2355,93.4,46.5,44.5107006369427,244.857566841099,2355,76,4.17,10.117983014862,120.120780169634,2355,63.63,0,14.6571295116773,275.298590227485,2355,96.6,0.01,16.7979787685775,372.656686737016,2355,116.74,0.11
"CCA LADOT2",34.052742,-118.235355,2028,67.2808693492299,123.553757245844,2013,103.9,45.6,43.9870342771982,327.213750792563,2013,73.5,4.33,6.94748137108794,62.2917049356618,2013,53.21,0,10.1470193740686,147.376288725768,2013,72.37,0,12.9060109289618,255.768112956143,2013,175.42,0.12
"CCA Laurita and Michigan",34.137314,-118.07097,12940,76.6743601236473,118.289400463856,12940,108.03,49.9,39.0351684698609,148.406157255795,12940,64.33,2.2,10.6224088098918,74.9623788095979,12940,120.45,0,15.3753570324575,193.392656963482,12940,190.42,0,17.1599111282845,262.535017188175,12940,222.38,0
"CCA Loma Vista & Alessandro",34.09488,-118.254657,17232,73.3098235465967,154.723488714917,17115,114.4,3.6,41.6811954425946,224.379875373451,17115,72.57,0.37,10.5362087975859,81.5736435506211,17232,184.32,0,16.3617072887652,226.744748962427,17232,289.2,0,18.6360567548745,315.924204675089,17232,335.57,0
"CCA Los Altos & 4th",33.771659,-118.125281,17056,74.4641024714554,80.7526587412502,13838,103.93,10.11,80.2052020021457,6177.70932627771,16782,255,2.1,8.95326300817819,76.0758578047039,16874,89.34,0,12.8567666232073,169.898541076689,16874,122.3,0,14.7255114377148,230.397285084828,16874,153.93,0.01
"CCA Madrid",33.835825,-118.108819,2025,66.8502814814815,59.2231391005708,2025,95.6,47.37,49.9714222222221,203.883995604742,2025,72.57,8.6,7.2963950617284,74.3742800810034,2025,62.29,0,10.5469679012345,155.844820940174,2025,91.81,0.02,12.1285432098765,202.357209981457,2025,105.02,0.1
"CCA Maywood and 55th",33.993208,-118.203387,9658,75.7910798909621,141.340601098575,9538,111.1,44.97,46.0196162717551,245.579774603708,9538,74.33,2.73,7.61014471476509,280.42243020454,9536,646.87,0,12.5743833892617,758.611714543698,9536,648.43,0,13.9881134647651,959.940988962902,9536,796.03,0
"CCA Montara-Century",33.937549,-118.219798,7916,73.9133206445879,132.844113857706,7881,115.8,46.5,47.4843065600811,253.974220562863,7881,78.4,2.27,13.1465232838471,154.880879154567,7881,169.3,0,18.8717447024489,347.426554100296,7881,309.84,0.01,20.7755272173583,443.764720410459,7881,382.57,0.02
"CCA Mountainview and Olive",33.967573,-118.218354,11694,77.1281304013006,193.133553059155,11687,121.4,43,41.7990741849918,239.429133885221,11687,68.67,0,11.6483618936974,628.770373724891,3443,743.74,0.02,18.0044176590183,858.520572663396,3443,757.38,0.06,19.7346500145222,949.712222851039,3443,760.48,0.14
"CCA Paradise Park",33.835551,-118.364828,15218,71.0948367772767,60.1505385049265,14857,103.53,1.36,49.846073760011,125.177507628427,14859,75.24,1.36,7.41189877583258,58.0828414217283,15194,77.3,0,10.9970132947215,126.461485135478,15194,109.7,0,11.5797347637225,140.565830423951,15194,118.34,0
"CCA Pepper",34.089558,-118.226068,17227,73.203928508643,156.267122927379,17065,115.97,19.71,46.2263558080955,208.059242483586,17071,118.25,4.13,12.3423132713342,99.9432532411162,17097,187.45,0,16.7616178276892,198.312027915938,17097,230.21,0,20.1807878575188,317.972493594264,17097,254.51,0
"CCA Riverdale",34.091684,-118.234008,6069,71.6048468063007,136.433097660912,5777,108.13,45.8,40.6795308983902,262.512196750126,5777,72.2,0.03,12.2977647641043,119.095426664338,6062,80.21,0,17.9525651600132,312.975763572309,6062,122.72,0,19.5747113163972,392.54887956522,6062,142.12,0
"CCA Rowena & Auburn",34.107859,-118.265826,17232,74.7984288957445,150.007531336354,17179,114.9,16.3,38.6510862099077,206.162288318278,17179,76.39,0,10.3690781830856,68.62899504332,17216,123.73,0,16.9259868726765,199.805241907234,17216,221.42,0,19.6410716775093,281.674283306859,17216,282.13,0
"CCA SP-11",33.711518,-118.291148,17232,70.941012266355,37.9044303263859,17120,96.63,1.41,53.5961207802829,137.756295142937,17122,80.51,0.98,7.3987308406874,49.0097944525447,17224,106.1,0,10.5794867626566,104.303868818614,17224,154.02,0,11.8157512772875,128.995601781252,17224,168.21,0
"CCA SP-2",33.709614,-118.28797,684,68.6850209205021,50.7539063936914,478,89,50.75,53.9770920502092,109.614123811216,478,77.8,23.4,6.34803347280335,38.8338544055858,478,41.67,0.09,8.91006276150627,67.9877712748787,478,52.35,0.14,10.2414853556485,82.3261455878354,478,56.15,0.28
"CCA Sale & Santa Fe",33.962976,-118.230101,17221,74.6071923641702,73.1571201829772,17025,101.9,18.22,41.0079598426581,113.390362329999,17033,66.11,3,11.6072960102212,127.907553147999,17219,330.62,0,17.5433538533015,344.604127797357,17219,700.53,0,19.1460183518207,433.702373087364,17219,833.12,0.01
"CCA San Vicente",34.050985,-118.480948,16243,74.0469618292225,165.587058024321,16138,117.53,4.09,42.2380570012394,233.390247057906,16140,85.84,0.13,7.27487773329221,87.6162487761679,16235,301.2,0,11.4948099784416,212.112368183367,16235,469.88,0,12.6347773329226,253.613406102626,16235,521.51,0
"CCA Saoirse",33.930254,-117.848267,4688,67.1032449331608,82.5507776285865,4638,101.13,10.34,39.276114704614,276.378308127449,4638,65.7,3,7.29442192832764,88.4627976175429,4688,72.97,0,11.5379479522184,261.270084288308,4688,109.53,0,13.1094667235495,356.672249384853,4688,129.93,0
"CCA Sepulveda and Hickory",33.823247,-118.333384,17232,73.202382966226,77.1853236033265,17025,102,1.36,42.1869695189993,110.339661413554,17027,67.72,0.91,10.6515261324042,284.176012270935,17220,376.2,0,17.7603391602301,1592.08149830523,17219,966.66,0,19.7217824141337,2196.52462519082,17207,960.45,0.02
"CCA Smog City",33.847103,-118.313831,6973,73.922428424607,109.531227699538,6811,110.07,51.03,44.7286683306417,210.415203321844,6811,75.77,3.27,10.2097078255763,99.380145568073,6811,75.02,0,14.2745778887094,202.685451785819,6811,109.85,0,15.5024519160182,244.466533781645,6811,124.62,0.02
"CCA Sweetzer and 4th",34.070892,-118.370311,11028,69.9488077745744,100.938957060609,10753,104.86,3.48,43.0731408647144,187.912258294736,10755,82.26,1.14,10.2250915750916,90.6447730477546,10920,84.89,0,15.3501932234433,219.065555572149,10920,116.67,0,17.8066163003663,295.466634130626,10920,127.02,0
"CCA Torrance & Irena",33.837421,-118.38027,17042,70.7219465265886,59.158924672622,16943,95.93,1.33,51.4750551720067,99.5567626592359,16947,82.18,1.47,8.13510875955324,63.4084453200544,17010,78.15,0,12.8077524985304,167.221070091011,17010,134.6,0,15.0807407407407,223.471321116271,17010,162.95,0.01
"CCA USW137M",33.988287,-118.197313,5852,78.2361923276305,174.052775204899,3858,115,51.4,46.3971047174701,272.153911941844,3858,81.47,3.03,11.2225388235294,73.1290980715684,4250,120.23,0,17.440068235294,196.738507526527,4250,181.22,0.07,18.8713788235295,257.136648698539,4250,355.6,0.18
"CCA W-7",33.795551,-118.260944,17123,74.0047063640615,110.516567249252,17096,110.11,14.42,49.3229103561196,192.205919687227,17101,95.33,5.63,9.60966806919116,94.4371750870568,17112,144.15,0,13.080940860215,177.033090482855,17112,200.28,0,14.4101700561009,214.716150733746,17112,222.59,0
"CCA Watts Central",33.935456,-118.254244,12576,72.4540619718309,150.982567167764,12425,124.33,3.73,40.4622483302485,250.049123980496,12427,75.02,0,12.185691485117,162.231403789568,12531,202.66,0,18.6110007182188,376.729465462968,12531,285.98,0,20.4884582236054,461.154813632311,12531,307.96,0.03
"CCA Whitsett and 76th Pl",33.969978,-118.240589,17232,73.9732890794805,102.994758333008,17023,105.87,5.33,43.2530266016795,145.433047263856,17029,70.67,2.61,10.2354881097738,88.1212323338369,17199,196.79,0,15.8875039246469,225.390737861582,17199,321.64,0,17.5470858770859,285.044113033156,17199,365.02,0
"CCA Woodward and Randolph",33.981542,-118.185324,8918,72.8249663072778,178.783215027506,8904,115.37,39.43,47.1327257412401,304.531049505365,8904,78.53,0.53,11.6306794699012,95.5598545871289,8904,70.44,0,19.1813286163521,318.481631874926,8904,133.13,0,20.5564802336029,350.058527585142,8904,139.61,0
"CCA- Avenida Aguascalientes",33.972019,-118.128187,16134,76.9808291551767,135.117996711394,15956,114.13,7.67,38.1468448427123,173.25955795186,15958,71.29,0.8,10.974546809039,105.978926006811,16108,211.08,0,16.3938924757884,252.589661348593,16108,314.08,0.01,18.4374137074748,324.774503734715,16108,347.69,0.07
"CCA179thHAWTHORNE",33.868096,-118.352471,17136,72.1429338525992,92.936050166934,16947,108.57,1.56,46.4494418220441,145.822167139886,16948,73.36,1.49,10.5012608362328,100.72409697118,16957,119.26,0,16.5611629415581,272.347945403798,16957,223.42,0.01,19.3473220498911,342.242073820141,16957,301.71,0.07
"CCA_36th&Normandie",34.02279,-118.300264,10543,75.8947769643723,76.5374784669435,10245,103.47,9.36,44.2971544239588,134.9678343702,10251,70.6,1.03,9.51972557735044,52.1573910920603,10349,122.05,0,14.8824137597835,144.8034652594,10349,186.53,0,16.7204551164363,182.471114182105,10349,207.17,0.02
"CCA_CalPolyPomona",34.05783,-117.824466,16349,73.1881033846155,201.244028970784,16250,121.3,22.78,40.4818428501108,261.782572168277,16252,67.96,0.2,8.93139335739191,73.0804641827323,16349,164.79,0,14.0154981956083,217.343372318767,16349,281.19,0,15.571899810386,290.940608318562,16349,326.17,0
"CH",34.011848,-118.491474,3996,65.4377847025496,46.7278267790177,1765,88.5,-230,61.3499283746556,827.52000942155,1815,100,8.2,8.54929487179483,97.2435096078219,3900,65.33,0,14.7644256410257,327.846609903417,3900,152.17,0,16.2600871794872,394.421344131919,3900,188.91,0.03
"CSU Fullerton Atmo Chem 1",33.879197,-117.886986,17227,70.2647131191005,108.777961046774,9429,105.23,2.67,46.1418810306437,295.190746832502,9431,86.64,1.98,8.41304615565067,58.5797210547024,17051,163.11,0,13.2646120462142,173.982523279103,17051,271.31,0,14.6604181572928,211.422471995222,17051,298.98,0
"CY",34.026945,-118.467935,2964,66.8086123545211,62.2643583773741,1117,94.03,44.77,45.8967770814682,373.735201789869,1117,97.43,7.8,6.24879578246394,80.4446171498323,1802,63.4,0,9.93968923418424,227.268944156564,1802,126.52,0,10.4731687014429,254.470946811057,1802,139.48,0
"Cabton",34.002163,-118.414286,2839,63.9563902611153,50.9230933188744,2834,91.63,45,49.2734544812985,220.356367483456,2834,73.33,6.9,8.61958715596331,101.187069331794,2834,71.01,0,14.1938955539873,291.769403386191,2834,213.29,0,16.1500458715597,386.112663711273,2834,390.07,0.02
"Calamar",33.818877,-118.312115,12324,71.3468541429274,127.7895322029,12286,120.03,3.98,52.0258250610251,234.070347976556,12290,79.48,1,9.61136629322938,74.7540801741728,12318,107,0,14.834637928235,186.088651062366,12318,138.5,0,18.0756892352655,267.721929049153,12318,167.99,0.07
"Calaveras",34.187357,-118.142381,17112,73.4533138815207,171.136250500682,16965,113.43,1.47,39.6880546879605,205.345107654718,16969,69.29,0.78,8.41906066306136,59.0894323078834,17012,163.88,0,13.1608699741359,172.453528629965,17012,206.01,0,14.2861973900776,211.376324819769,17012,211.33,0
"Calle Cabrillo",33.812978,-118.376368,2009,63.9634780307041,37.5086835007088,1889,90.43,45,51.2751032292218,217.006777650885,1889,76.33,8.56,5.20506617257808,44.089552974962,1889,58.69,0,8.14309687665431,108.819064397919,1889,96.89,0,8.78379565907887,128.017675045087,1889,118.5,0
"Canyon weather",34.124223,-117.749074,1937,63.9604218749999,78.195056570235,1920,100.47,50.1,45.3654947916667,288.037636649269,1920,81,5.53,5.51031770833336,52.1591972413748,1920,41.5,0,9.15177083333331,173.939711922443,1920,90.61,0,10.1340885416667,213.085359147966,1920,152.98,0
"Catalina Outdoor",33.898405,-118.294933,3307,65.7922416436675,81.0673091145965,3261,100.57,42.47,48.1423459061637,262.787257041049,3261,79.68,5.7,11.3030113462128,159.492565591589,3261,99.89,0,17.441842992947,404.768029455095,3261,135.68,0,19.6110640907697,497.370962640369,3261,154.95,0
"Chapman Outdoor",33.794194,-117.849953,3951,63.5585876993166,93.3223464099655,3951,105.3,44.6,47.2463022019741,306.3918996646,3951,76.03,3.1,7.39860794735508,74.5351849984077,3951,62.7,0,11.1587598076437,197.188878512167,3951,102.04,0,12.1343837003291,242.34153596818,3951,112.9,0
"Chestnut Ave - Outside",33.824868,-118.196998,3567,66.8438839035335,53.0634472673032,3566,95.4,49.13,44.9620218732475,160.019524073575,3566,74.67,7.37,4.34696298373527,25.6179226954036,3566,44.5,0,6.27299775659003,79.7135935635292,3566,209.24,0,6.77330061693774,129.70323990231,3566,343.39,0
"Chino Hills",33.951927,-117.696214,17232,74.1898461811512,164.383961046035,16903,115.17,2.89,36.7125992309968,192.618107015489,16905,65.11,0.03,8.29576354105995,56.5508247096496,17170,102.2,0,12.9820157251018,171.798959924035,17170,172.75,0,13.8258089691322,201.214787396669,17170,184.21,0.01
"Claremont_01",34.125368,-117.726098,16945,73.0447172266917,199.283487076162,16904,115.1,41.04,39.4641305890703,259.777537405788,16908,92.32,0.97,9.11617695765324,93.7306240301975,16908,305.46,0,13.5590661225455,249.445746469156,16908,394.45,0,15.3911509344689,354.393173336659,16908,603.76,0
"Club_Danalda",34.038293,-118.401932,4168,68.6379898648648,84.1464805589123,4144,107.93,50,42.4071138996139,220.576340835685,4144,65.3,4.14,9.18269305019307,105.748241019927,4144,64.65,0,14.725666023166,319.626398204627,4144,113.78,0,16.4567109073359,406.380040518867,4144,127.81,0.01
